1/1/2025-12/31/2025,BWell 1|Flow Mgd,BWell 2|Flow Mgd,BWell 3|Flow Mgd,BWell 4|Flow Mgd,BWell 5|Flow Mgd,BWell 6|Flow Mgd,BWell 7|Flow Mgd,BWell 8|Flow Mgd,BWell 9|Flow Mgd,BWell 10|Flow Mgd,BWell 11|Flow Mgd,BWell 12|Flow Mgd,BWell 13|Flow Mgd,BWP|Flow Mgd|MGD|Formula
5/23/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011
5/28/2025,0.036,0,0.016,0,0,0.033,0,0.023,0.017,0.025,0.017,0.024,0.029,0.2209
5/29/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/30/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2025,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.0048
6/1/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/3/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009
6/5/2025,0.642,0,0,0,0,0.005,0,0.408,0,0,0,0,0.563,1.6177
6/6/2025,1.873,0,0,0,0,0,0,0.878,0,0,0,0,1.067,3.8178
6/7/2025,0.5,0,0,0,0,0,0,0.338,0,0,0,0,0.429,1.267
6/8/2025,0,0,0,0,0,0,0,0,0,0.727,0,0,0,0.7271
6/9/2025,0,0,0,0,0,0,0,0,0,1.156,0,0,0,1.1564
6/10/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/15/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/18/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/19/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2025,0,0,0,0,0,0,0,0,0,0,0,0.561,0,0.561
6/24/2025,0,0,0,0,0,0,0,0,0,0,0,0.759,0.68,1.439
6/25/2025,1.253,0,0.016,0.623,0,0.039,0,0.022,0.016,1.017,0.002,0.614,0.931,4.535
6/26/2025,1.877,0,0,1.044,0,0,0,0,0,1.489,0,1.309,0,5.7197
6/27/2025,0.487,0,0,0.271,0,0,0,0,0,0.389,0,0.342,0,1.4883
6/28/2025,0,0,0,0,0,0,0,0,0,0,0,0,1.201,1.201
6/29/2025,0,0,0,0,0,0,0,0,0,0,0,0,0.618,0.618
6/30/2025,0,0,0,0,0,0,0,0,0,0.889,0,0,0,0.8886
7/1/2025,0.352,0,0,0,0,0,0,0,0,1.118,0.004,0,0,1.4737
7/2/2025,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0.022
7/3/2025,1.39,0,0,0.777,0,0,0,0,0,1.078,0,0,1.197,4.4409
7/4/2025,0.218,0,0,0.291,0,0,0,0,0,0.173,0,0,0.19,0.872
7/5/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/7/2025,0,0,0,0,0,0,0,0,0,0,0,0.637,0,0.637
7/8/2025,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0.245
7/9/2025,0,0,0,0,0,0,0,0,0,0,0.601,0,0,0.6006
7/10/2025,0,0,0,0,0,0,0,0,0,0,1.197,0.693,0,1.8898
7/11/2025,0,0,0,0,0,0,0,0,0,0,1.194,1.346,0,2.5404
7/12/2025,0,0,0,0,0,0,0,0,0,0,1.189,1.015,0,2.2045
7/13/2025,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0.2789
7/14/2025,0,0,0,0,0,0,0,0,0,1.121,0,0,0,1.1207
7/15/2025,0,0,0,0,0,0,0,0,0,0.742,0,0,0,0.7416
7/16/2025,1.417,0,0,0,0,0,0,0,0,0,0,0,0,1.4168
7/17/2025,1.875,0,0,0,0,0,0,0,0,0,0,0,0,1.8753
7/18/2025,1.834,0,0,0.712,0,1.318,0,0.779,0,0.065,0,0,0,4.7074
7/19/2025,1.809,0,0,1.006,0,1.899,0,1.217,0,0,0,0,0,5.9309
7/20/2025,1.002,0,0,0.536,0,0.415,0,0.26,0,0,0,0,0,2.2129
7/21/2025,1.327,0,0,0,0,0,0,0,0,0,0,0,0,1.327
7/22/2025,1.249,0,0,0,0,0,0,0,0,0,0,0,0,1.2489
7/23/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/25/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/2025,0,0,0,0.003,0,0.86,0,0,0,0.46,0,0,0,1.3226
7/27/2025,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0.524
7/28/2025,0,0,0,0,0,0,0,0.923,0,0,0,0.994,0,1.9167
7/29/2025,0,0,0,0,0,0,0,1.229,0,0,0,1.345,0,2.5739
7/30/2025,0.05,0,0.027,0.02,0,0.032,0,0.192,0.014,0.026,0.018,1,0,1.3777
7/31/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/1/2025,1.093,0,0,0,0,1.095,0,0,0,1.042,0,0,0,3.2301
8/2/2025,1.861,0,0,0,0,1.908,0,0.145,0.138,1.491,0,0,0,5.5431
8/3/2025,1.589,0,0,0,0,1.873,0,1.031,0.584,1.3,0,0,0,6.3773
8/4/2025,0.792,0,0,0,0,1.848,0,0,0,0,0,0,0,2.6398
8/5/2025,0.858,0,0,0,0,0.903,0,0,0,0.24,0,0,0,2.0006
8/6/2025,0,0,0,0,0,0.435,0,0.216,0.122,0.121,0,0,0,0.8938
8/7/2025,0,0,0.263,0.757,0,0,0,0,0.688,0,0,0,0,1.7072
8/8/2025,0,0,0.776,1.001,0,0,0,0,0.67,0,0,0,0,2.4468
8/9/2025,1.818,0,0.765,0.986,0,0,0,0,0.651,0,0,0,0,4.2198
8/10/2025,1.829,0,0.759,0.977,0,0,0,0,0.255,0.903,0,0,0,4.723
8/11/2025,1.807,0,0.757,0.971,0,0,0,0,0,1.491,0,0,0,5.025
8/12/2025,1.788,0,0.755,0.787,0,0.388,0,0.238,0,1.484,0,0,0,5.4397
8/13/2025,1.761,0,0.753,0.059,0,1.843,0,1.236,0,1.481,0,0.667,0,7.7988
8/14/2025,1.753,0,0.747,0,0,1.58,0,1.208,0,1.48,0,1.315,0,8.0819
8/15/2025,1.749,0,0,0.498,0,1.807,0,0.89,0,1.478,0.001,1.307,0,7.7303
8/16/2025,1.737,0,0.111,0.948,0,1.783,0,1.186,0,1.129,0.057,0.992,0,7.9428
8/17/2025,1.731,0,0,0.932,0,1.763,0,1.174,0,0,0,0,0,5.5999
